FAMID,AGEFAM,CRNTWG,RETAGE,SPENDING,FINCAP
80,90.4,0,65,56321,151833
81,33.1,57658,73,54607,-276088
82,87.2,0,71,50094,409632
83,34.8,47694,59,44802,215926
84,36.9,35642,66,32029,43386
85,74.2,0,60,58324,846292
86,36.9,88531,64,75435,-49379
87,56.9,89800,63,64328,872108
88,69,0,59,55377,955046
89,59.3,91466,74,58872,24243
90,58.4,62779,74,54229,213090
91,40.1,86675,65,76315,176669
92,37.1,72628,69,65641,-59412
93,44.2,78721,73,59037,-317680
94,78,0,73,20851,379268
95,83.3,0,58,55982,544180
96,40.2,86761,67,69942,-147445
97,83.8,0,59,50927,488815
98,75.4,0,64,53705,699644
99,70.1,0,69,27220,469862
100,86.8,0,62,43337,355809
101,63.8,148097,65,68121,1093498
102,40.7,32825,58,26008,202222
103,48.5,75050,67,54701,49176
104,57.7,87256,72,61993,217351
105,48.6,73986,73,65742,55483
106,55.6,37894,71,21715,-48626
107,56.8,100940,57,68802,1458826
108,49.7,113758,62,78291,592694
109,57,31042,67,24925,229704
110,57.5,52217,69,37748,227579
111,40.3,54931,71,46254,-200783
112,57.3,46374,64,37537,449444
113,73.8,0,56,24897,329802
114,32.6,61262,74,58429,-331671
115,48.8,51776,67,38531,71198
116,34.3,69645,63,64640,88644
117,72.1,0,62,54269,858606
118,74.7,0,60,49834,675392
119,61.5,96523,68,52822,447635
120,59.4,93672,69,50951,291569
121,41.1,51567,57,36750,236336
122,52.3,87418,70,73327,359421
123,67.7,0,63,62173,1056218
124,45.4,31384,73,24317,-94045
125,34,40861,69,38035,-6196
126,47.8,48321,66,37912,84032
127,31.9,62761,68,61264,-74578
128,67.6,0,65,33705,605911
129,86.3,0,70,57393,327695
130,94.5,0,64,38153,41771
131,40.5,77833,60,64798,318532
132,77,0,63,53585,712654
133,66.6,30865,75,23489,82075
134,57.3,32637,61,24198,349356
135,40.2,26211,64,22989,64374
136,55.1,123477,64,67089,378542
137,44.4,83930,67,66803,49732
138,65.8,0,65,68383,1215596
139,53.5,37020,58,25729,408703
140,74.4,0,61,54301,812408
141,52.9,47620,59,32891,397253
142,81.8,0,67,74358,724971
143,84.3,0,65,26219,340089
144,44.5,89302,64,74791,411505
145,31.2,60777,73,59264,-180479
146,69.8,0,67,28485,485758
147,58.3,118581,60,76085,1216752
148,76.7,0,72,49238,578000
149,41,25521,73,20898,-99435
150,81.9,0,57,27738,320786
151,75.5,0,64,32773,465803
152,63.6,0,61,71179,1340325
153,47.1,90863,67,67025,668
154,52.3,97394,66,70611,438390
155,35.7,82569,68,74244,-53288
156,55.4,49034,66,38147,299951
157,85.3,0,55,40289,279717
158,71,0,65,41265,655610
159,72.5,0,66,65312,928763
160,59.6,70600,71,29022,-169188
161,46.8,50381,59,37154,355023
162,34.4,49730,57,46558,266387
163,63.2,0,62,69644,1380321
164,56.6,134649,68,71090,144250
165,93.4,0,67,25554,5943
166,56.2,49578,59,29069,450297
167,39.7,36493,61,30764,112545
168,61.1,0,58,47235,903215
169,56.5,67841,57,49474,889320
170,94.9,0,64,30827,49474
171,64.7,103963,73,57595,371981
172,53.3,99841,70,58637,-158421
173,72.6,0,63,24417,353223
174,74.2,0,60,62897,881907
175,66.1,0,61,75531,1293001
176,81.2,0,65,60571,637863
177,89.3,0,60,31948,239722
178,48.4,89464,72,74436,801
179,50.9,54738,67,35911,-6361
180,85.2,0,70,42900,399060
181,35.4,55585,62,51240,161605
182,69.7,0,55,76220,1284774
183,44.4,38542,72,29340,-101472
184,87.5,0,57,53311,267356
185,86.5,0,60,50763,470895
186,72.1,0,64,22887,350148
187,32.1,51150,68,49326,-37953
188,40.5,32820,59,28465,181646
189,94.9,0,57,73006,12897
190,88.8,0,75,59476,270812
191,33.8,40499,70,38359,-123479
192,38.8,54569,62,49326,207325
193,91.6,0,72,36095,91312
194,72.3,108720,73,50802,738439
195,89.9,0,63,42926,201639
196,68.7,67246,70,37090,456284
197,45.9,66076,65,57900,192630
198,74.4,0,57,22357,309026
199,85.1,0,63,61255,495938
200,88.3,0,59,72757,472900
201,41.4,70650,64,57777,32976
202,33.9,38865,68,36193,2554
203,49,46900,64,36337,124025
204,90,0,70,77374,371965
205,73.2,0,69,72351,1040873
206,72.4,80148,74,50093,668556
207,36.9,67166,57,59666,331715
208,92.8,0,59,68083,124853
209,31.9,71326,61,67695,197256
210,42.3,77625,73,63529,-264962
211,77,0,69,26064,327724
212,81.4,0,68,47219,494415
213,53.2,36649,61,25002,271909
214,61.3,0,60,57146,1045786
215,36.3,56913,65,52188,105099
216,87.5,0,68,22037,71957
217,72.3,0,64,56270,857642
218,57.3,73319,60,66774,1196687
219,42.2,67022,74,55622,-98924
220,30,31352,62,30998,-21793
221,57.6,129290,73,78443,29718
222,83.5,0,67,39881,379243
223,64.2,0,58,29532,562736
224,88.1,0,62,58291,355507
225,92.5,0,69,24320,-31094
226,53,58357,68,37615,35366
227,64.1,100195,72,52076,253228
228,50.1,90412,73,59103,-330839
229,69.5,124541,73,67994,682880
230,65.4,0,59,19763,359691
231,75.4,0,68,75368,1108037
232,92.1,0,65,64670,196837
233,35.4,84872,67,78539,-10422
234,74.4,0,67,25085,336685
235,73.6,0,60,68241,1047719
236,84,0,74,50367,467992
237,49,53967,59,42633,544006
238,72.7,104085,74,60329,725360
239,51.1,46896,67,28853,58733
240,31.7,38802,63,36950,112430
241,45.7,54743,69,43887,59776
242,36,57811,74,49963,-300434
243,70.2,0,57,53304,854335
244,57.6,94854,59,78553,1539612
245,39,54692,73,48106,-208964
246,49.7,30954,60,23019,211846
247,84.1,0,62,48686,415610
248,79.9,0,60,56605,613417
249,60.8,109156,62,69454,1222465
250,50.1,44564,58,32762,408448
251,56.1,87559,58,61745,1146272
252,94.5,0,58,61187,70453
253,75.2,0,72,51380,779074
254,31.4,24088,69,23073,-25208
255,43.7,34373,64,27755,138129
256,91.6,0,59,31490,200977
257,53.4,86944,63,58662,515066
258,83.2,0,56,60602,608710
259,82,0,62,51799,662862
260,86.2,0,63,31970,260666
261,81.6,0,64,32755,383358
262,82.4,0,61,63210,627966
263,61.5,0,59,47344,917358
264,32.8,21597,74,20254,-73955
265,91.1,0,57,67858,241102
266,42.2,58200,61,46116,188001
267,30.6,21466,72,20667,-82158
268,84.9,0,73,63757,498772
269,77.2,0,64,33982,338344
270,42.3,68286,61,55058,234785
271,37.5,31277,55,26803,195520
272,86.1,0,61,76240,612063
273,61.9,60472,74,42315,95052
274,40.1,45109,62,40038,169120
275,92,0,58,64379,118437
276,78.4,0,66,66052,942126
277,93.9,0,71,33733,130326
278,48.6,99062,66,72689,201101
279,90.5,0,60,44885,162514
280,90.7,0,55,47070,206590
281,87.1,0,72,24937,64904
282,89.9,0,64,70587,365337
283,58.1,0,56,72939,1411180
284,34.8,28908,69,27053,-23506
285,78.8,0,59,69531,859664
286,65.1,154715,71,71909,487813
287,91.3,0,55,71254,318261
288,81.5,0,69,69345,739571
289,38.2,72886,69,61492,-99711
290,85,0,70,55985,462308
291,55.6,65299,66,40602,286582
292,56.3,67833,68,49212,268194
293,75.2,0,56,41621,488609
294,81.4,0,55,63477,688482
295,63.9,0,59,71852,1321739
296,31.3,30155,72,28593,-79532
297,37.9,29321,56,26352,134239
298,47.4,77713,73,51879,-383673
299,61.3,118527,64,76213,1212762
300,51.4,67031,70,51084,129366
301,65.3,0,56,22409,346278
302,31.8,64182,57,62594,346151
303,79.2,0,68,33910,420691
304,85.8,0,69,59434,522405
305,42.1,54901,66,47890,144368
306,62.1,0,62,66862,1218744
307,89.9,0,62,63399,254216
308,56.1,103957,57,77867,1538384
309,36.2,79273,59,69435,268888
310,50.5,86466,70,64360,-13634
311,90.9,0,60,41423,239689
312,42.3,37849,72,33711,-11438
313,58.5,90900,66,50231,417466
314,36.1,55100,56,50896,438122
315,52.3,135290,57,78498,1138270
316,50.3,54123,71,39468,-57492
317,62.4,90585,73,49019,39560
318,32.8,57003,58,54784,286482
319,77.5,0,61,32904,357127
320,82.4,0,61,33531,355095
321,59.2,66033,67,49366,481599
322,41.8,82328,67,69733,88131
323,58.9,46839,73,33681,133746
324,41.9,60662,65,45207,-107496
325,69.4,0,56,37060,613011
326,40,66632,71,60417,-88625
327,78.4,0,57,35056,384817
328,89.5,0,60,22409,124975
329,91.1,0,62,35340,99507
330,45.2,74956,57,63460,642809
331,67.9,60949,71,35039,379496
332,71.3,86250,74,43105,454377
333,35.9,41240,58,38205,238041
334,50.7,99860,69,72932,63257
335,69.7,0,64,54925,965604
336,33.6,66279,61,62562,204399
337,83.9,0,70,31118,438213
338,51.2,32854,60,19970,233131
339,46,88855,69,61176,-292773
340,44.4,87153,59,67696,497052
341,49.4,34510,62,27589,179271
342,44.8,34687,56,25798,202039
343,70.8,0,60,49222,814007
344,69.1,196066,71,75348,855926
345,94.5,0,56,23334,17194
346,73.3,0,71,36355,515720
347,78.4,0,58,31755,350517
348,31.9,62368,60,60442,157078
349,57.5,49297,70,31057,84232
350,74.2,0,58,41012,626810
351,80.5,0,69,63255,637976
352,66.6,0,65,68978,1245655
353,61.7,0,59,61469,1117348
354,61.9,115059,62,64651,1232632
355,52.7,81652,61,47374,455892
356,43.8,42496,73,32963,-108221
357,49.9,90065,63,75744,720202
358,57.5,84481,62,66974,1006411
359,81.3,0,72,74636,784567
360,73.6,0,64,26754,376088
361,58.1,41031,67,27944,225632
362,76.9,0,62,33358,349602
363,93.9,0,65,73741,4976
364,92.4,0,56,30090,94673
365,88.4,0,65,41950,312721
366,45.6,70456,63,54660,275227
367,88,0,61,33905,165744
368,89.1,0,67,42304,193885
369,86.4,0,74,57040,378906
370,45.1,62650,62,51073,342080
371,88.2,0,73,65983,331065
372,45.6,86210,55,61445,776116
373,92.7,0,73,68063,195220
374,88.1,0,72,54219,341828
375,33.8,28808,56,26820,215215
376,74.3,0,61,32063,493832
377,59,58861,73,30421,-93023
378,76.8,0,62,20598,210242
379,36.9,68117,62,62112,293410
380,65.2,130945,68,65316,865763
381,42,47786,62,37019,100614
382,49.9,77083,64,60862,519760
383,48.5,75070,64,54152,213919
384,81.8,0,64,67860,649453
385,86.3,0,60,74278,452276
386,34.5,68856,56,63515,387918
387,67,90862,71,52295,558775
388,64.5,57619,74,46444,391086
389,93.4,0,55,31067,-2622
390,48.4,85705,59,72366,866316
391,75.3,0,68,24680,414330
392,71.7,0,68,60972,1004379
393,66.5,0,56,66456,1238272
394,80.7,0,67,76891,844566
395,88.9,0,65,43531,234031
396,55.5,37198,60,22928,316647
397,76.5,0,65,31743,539301
398,59.6,0,59,73189,1421063
399,90.4,0,71,41370,143150
400,72.1,0,59,52315,839769
401,78.7,0,74,56892,650307
402,67.5,91073,71,56569,713119
403,57.6,115880,66,69326,557180
404,59.4,109614,72,60647,-33458
405,67.3,0,63,67119,1182254
406,67.1,0,62,29932,498606
407,38.4,49559,60,40949,52261
408,51.2,33461,60,23457,250985
409,66.9,0,59,23029,436893
410,64.3,0,63,31340,597997
411,44.2,32117,66,26110,62160
412,51.4,39065,73,30774,50392
413,89.9,0,67,66618,212547
414,88.3,0,67,43135,274200
415,53.1,53759,58,34832,462694
416,87.3,0,59,49178,427381
417,37.3,55174,74,46656,-337454
418,62.1,126604,71,73718,292174
419,75.5,0,67,50907,682361
420,75.1,0,67,26957,459937
421,85.5,0,67,68104,502281
422,49.3,87606,56,72334,1008652
423,92.1,0,57,25724,161528
424,42.1,25568,60,22249,166880
425,35.1,31563,73,28797,-188933
426,79.4,0,59,55540,704750
427,91.6,0,60,48913,126543
428,72,0,67,53566,828031
429,36.4,46723,73,44339,-178732
430,81,0,69,71134,765947
431,48.9,68098,59,45387,390597
432,51.4,86671,73,68899,2042
433,55.9,108612,72,68527,-48482
434,32.4,77568,69,74073,-173984
435,35.9,75669,67,68111,-63422
436,58.8,114598,74,74979,19811
437,36.1,89918,56,76923,461909
438,79.4,0,69,21925,305116
439,73,0,63,53113,809075
440,32.9,50781,60,47876,151068
441,55.5,50585,66,34748,275431
442,80.5,0,55,48810,511690
443,83.5,0,75,54963,558399
444,86.4,0,63,63024,457572
445,56.9,30187,65,23231,340671
446,81.5,0,71,60381,654216
447,50.5,41110,62,30634,268332
448,62.9,125819,63,67460,1304482
449,59.1,0,59,57062,1154906
450,40.8,75930,58,71842,708469
451,92.3,0,63,32695,-54027
452,58.4,35293,71,23062,113757
453,94.6,0,61,23309,22986
454,68.9,0,64,75936,1266600
455,45.1,96826,74,72339,-375541
456,70.1,75400,72,30153,363433
457,87.3,0,74,72472,503817
458,67.8,70854,74,36462,297690
459,68.5,0,68,59783,1026009
460,94.2,0,68,77440,91090
461,37.4,43079,71,37686,-172915
462,59.8,103830,60,59514,1209270
463,89.6,0,69,54853,190302
464,41.9,58829,64,52918,224381
465,47.9,48246,74,33467,-224399
466,33.8,81026,71,71625,-345931
467,45,73009,75,63678,-163669
468,71.8,0,68,60061,889558
469,90.5,0,70,75224,314296
470,76.3,0,56,47755,656783
471,55.3,101352,71,75130,312208
472,63.5,0,57,64361,1323059
473,78.1,0,60,39022,476210
474,40.2,97663,69,77810,-196256
475,59.1,87906,75,62424,82595
476,76.4,0,72,39288,441547
477,92.2,0,67,60807,125123
478,78.8,0,68,26998,300707
479,34.9,30485,62,28888,34855
480,94.9,0,56,35307,7486
481,40.6,30948,60,26986,182960
482,71.7,0,57,74494,1152202
483,72.1,0,68,39950,601042
484,78.9,0,62,76433,778142
485,35,50577,63,45645,128561
486,58.5,71638,64,50905,661365
487,85,0,74,68184,549607
488,55.6,65184,68,38581,49921
489,81.4,0,64,66463,662606
490,81.3,0,73,46719,419948
491,68,0,65,38393,702586
492,83.9,0,70,42751,391011
493,93.8,0,71,28774,3892
494,78.5,0,65,67728,853398
495,76.2,0,74,70983,1042046
496,52.6,36200,58,23656,337684
497,83.6,0,62,22919,178044
498,88.3,0,70,37961,201384
499,32.7,46063,56,43745,282534
500,50,68505,73,54615,4668
501,41.4,84850,72,72039,-286324
502,32.1,53614,62,51410,55294
503,33.6,86570,56,78920,407032
504,83.9,0,61,40031,350128
505,92.4,0,67,38489,120838
506,49.6,77550,60,60017,618812
507,83.4,0,72,71907,683073
508,67.3,0,56,69616,1236686
509,81.2,0,59,31993,289880
510,64.1,111426,70,46219,252611
511,35.5,47801,64,43311,75519
512,81.6,0,66,54386,610007
513,64.3,95387,70,47456,410118
514,51.3,31048,67,20403,-59269
515,39.4,74033,67,69006,135259
516,46,50047,61,44902,356291
517,75.6,0,72,24266,355703
518,52.9,48543,67,28983,55971
519,45.3,32338,67,25096,66556
520,40,26088,69,21722,-65973
521,36.5,64557,60,58412,235806
522,39.9,31281,68,25270,26911
523,84.7,0,75,51706,455775
524,75,0,61,75100,1090679
525,44.5,43244,71,32088,-60319
526,39.2,89750,62,74136,134608
527,94.8,0,58,57169,-95697
528,83,0,74,40775,341237
529,65.9,117639,68,58989,849665
530,88.1,0,60,29405,234822
531,81.5,0,60,54511,548392
532,88.9,0,63,31476,218277
533,58.5,0,55,33133,733762
534,71.8,0,60,57679,837985
535,93.3,0,68,50957,57281
536,58,74684,63,51684,779362
537,87.9,0,57,69009,337722
538,32.3,53653,74,50697,-235291
539,43.6,72519,58,61355,612362
540,51.9,82976,75,66405,-22867
541,70.6,0,64,47238,776626
542,90.4,0,70,22944,91630
543,73.8,0,61,20830,267961
544,89,0,61,52248,290922
545,31.6,41570,66,40100,-44082
546,69.5,0,69,33815,547542
547,68.2,0,57,40731,664168
548,75.7,0,62,67640,862988
549,66.3,84590,71,41676,274673
550,53.8,94691,68,72285,389453
551,55.2,37498,66,23622,185742
552,69.3,57444,70,33348,567910
553,87.4,0,59,43738,265679
554,88.1,0,69,23640,282384
555,35.1,73777,61,67701,122490
556,72.4,0,67,70402,1006897
557,45.2,92704,58,69276,595565
558,39.9,49083,63,43290,205783
559,37.6,40856,72,34150,-94275
560,56.8,61706,72,40248,72692
561,45.1,84584,69,70150,25237
562,62.2,63167,67,33083,312536
563,89.7,0,68,70553,358293
564,93.9,0,62,49579,57037
565,91.6,0,71,23461,82297
566,32.3,39368,64,36288,-94634
567,82.1,0,74,34697,385748
568,48.8,87779,62,67169,558811
569,55.3,79988,70,54934,211379
570,41.7,62083,67,56468,113202
571,33.4,42860,68,39544,-116728
572,54.5,43101,72,26353,-88192
573,79.9,0,56,34616,382779
574,87.6,0,63,27113,209521
575,58.8,49364,64,33738,479809
576,41.5,59392,69,48126,-110812
577,65.7,59271,70,48156,623330
578,43.8,78359,56,65787,710108
579,47.4,60259,58,45921,520525
580,74.1,0,68,48208,727023
581,87.6,0,60,70232,444483
582,49.3,43796,64,34491,186477
583,59.2,0,58,65204,1239903
584,48.5,66521,68,54849,131166
585,49.5,86084,66,58898,95689
586,30.2,44731,68,43529,-73844
587,83.4,0,74,32268,266780
588,85.2,0,58,41713,327149
589,78.1,0,63,32638,388930
590,71.3,0,58,36374,561389
591,61.1,45835,74,27183,31937
592,30.7,61511,67,59777,-135552
593,35.2,70342,69,65590,-136187
594,47,60923,68,41459,-70997
595,73.7,91932,74,43228,643108
596,45.9,51250,58,42534,406247
597,82.9,0,66,42177,410033
598,59.3,55986,64,35591,512214
599,49.1,42483,56,29133,365854
600,56.9,91148,63,61207,710884
601,66.9,97840,74,68696,636313
602,83.8,0,64,45646,517634
603,55.2,55765,59,35946,529498
604,33.1,66815,73,62928,-256990
605,88.5,0,61,39631,261350
606,33.5,41000,56,39272,261337
607,58.3,37023,61,24443,375539
608,73.8,0,69,27683,420878
609,78.5,0,69,69318,835528
610,32.6,79805,64,74990,26352
611,67.2,107431,70,53083,648940
612,36.7,27877,64,25704,13187
613,87.7,0,74,55971,400475
614,40.8,67808,60,54939,220239
615,86.8,0,70,67755,524686
616,60.5,105534,74,62869,14931
617,38.4,43285,60,36838,177609
618,94.8,0,59,42269,473
619,50.2,46285,67,34685,120499
620,68.3,0,64,69053,1215303
621,30.8,44620,60,43469,181961
622,74.1,0,68,33172,467957
623,36.7,77011,69,66635,-245046
624,87.8,0,66,53017,391696
625,31,38585,71,37489,-160072
626,64.6,78953,74,45827,159355
627,95,0,56,66600,-71019
628,48.2,62179,61,46554,387335
629,58.4,68405,71,46630,140557
630,44.1,53870,73,42470,-180075
631,43.8,82733,69,63599,-87911
632,75.5,0,60,43581,564717
633,77.5,0,72,56962,733158
634,71.2,0,56,71149,1202655
635,91.7,0,65,21542,43276
636,47.3,46509,57,34223,338829
637,43.7,92543,57,71645,543216
638,74.8,0,70,78195,1096551
639,49.8,43932,68,30289,94133
640,50.6,86319,55,76972,1336670
641,65.8,101146,71,56453,542299
642,54.5,48701,69,38638,277338
643,40.6,38054,63,31557,69524
644,49.3,81017,75,63560,-140617
645,90.5,0,65,60417,325533
646,79.2,0,60,70041,829811
647,75.5,0,57,40353,484978
648,43.9,77934,65,58439,22552
649,84.5,0,57,65340,603217
650,78.9,0,55,42605,531225
651,48.3,50219,59,35179,308664
652,37.4,24227,60,20162,54117
653,35.2,44415,69,40925,-80561
654,32.5,38474,66,37402,46025
655,48.2,81627,62,64768,337135
656,34.4,69618,55,66631,557078
657,91.4,0,60,31952,212021
658,39.3,51030,57,40405,139403
659,35.1,32405,69,28743,-114344
660,59.4,102423,73,68621,217929
661,64.8,0,59,20154,363987
662,77.2,0,69,71987,900698
663,80.3,0,58,56262,651781
664,45.8,61410,66,48235,121475
665,77.1,0,56,31180,367462
666,40.2,49299,62,41844,170764
667,57.4,68919,61,52092,844222
668,54.2,87656,62,68804,806736
669,58.7,27017,73,21033,99462
670,42.2,50737,68,41503,-42794
671,78.1,0,73,42758,535885
672,77,0,68,27769,460849
673,34.7,58343,57,53998,276343
674,44.7,27013,56,21695,122440
675,40,58488,56,49754,337729
676,53.5,72051,59,44828,537125
677,42.7,55580,61,46278,278037
678,33.2,40685,72,38823,-36167
679,45.6,75908,66,54366,-43777
680,93,0,71,56662,87559
681,77.3,0,74,41046,643525
682,39.5,54672,75,48125,-208796
683,39.1,24078,67,20784,39508
684,37.4,74363,65,64987,5040
685,64,0,62,21710,335403
686,53,38197,67,23442,131078
687,31.3,59798,57,57760,279265
688,39.6,21412,55,20510,191012
689,63.8,38839,64,22893,487702
690,74,0,66,43766,636728
691,58.5,78864,61,50126,787841
692,57.7,0,57,57234,1206461
693,30.3,59608,65,58299,-94224
694,89.1,0,62,59357,344049
695,54.6,98828,70,61539,-8452
696,80.1,0,58,49593,566644
697,94.5,0,65,39696,-6966
698,93.5,0,70,53434,26024
699,37.3,28856,60,25930,46667
700,60.4,63693,66,48454,714342
701,73.9,0,59,65426,911442
702,43.8,93589,66,69308,-55932
703,57.6,55192,61,29740,365395
704,73.5,0,60,49841,720919
705,60.7,77969,64,52570,745460
706,31.8,44937,62,42293,157847
707,50.5,109937,60,70868,677215
708,60.3,115647,64,78108,1127687
709,43.1,68427,64,56040,197085
710,82.4,0,56,20166,250464
711,30.5,34922,70,34186,-36134
712,74,85235,75,48383,559550
713,37.6,59573,59,53227,271574
714,31,52030,71,50418,-136847
715,54.7,64577,66,50012,443342
716,73.6,137612,75,63795,753338
717,61.5,0,57,69817,1283353
718,67.7,0,62,40644,683094
719,79.2,0,63,75885,901687
720,60.5,0,58,74033,1435994
721,43.7,49676,59,46021,389430
722,75.8,0,64,71139,971758
723,56.3,111381,69,66337,182555
724,67.5,116190,72,62481,631867
725,68.8,48974,71,30310,328676
726,57.1,98967,61,66264,1038470
727,58.8,57037,65,31216,369936
728,42.2,83467,72,66085,-267083
729,72.8,0,58,73181,1168204
730,66,59800,70,26757,219214
731,90.8,0,62,21449,74988
732,81,0,71,66079,777896
733,85.3,0,62,54501,410299
734,80.7,0,71,52404,503569
735,46,55469,58,41479,359453
736,80.3,0,70,61997,610538
737,59.6,76493,75,54949,45023
738,81.1,0,64,71584,767928
739,50.9,98523,65,61229,121477
740,95,0,68,64085,-49806
741,85.4,0,58,42871,400656
742,69,0,58,23416,428959
743,90,0,59,34347,145983
744,71,67234,74,38833,353934
745,76.4,0,69,42214,565286
746,65.9,0,64,36619,699532
747,62,90319,65,57834,865130
748,55.5,99547,74,73448,42905
749,58,102276,64,68314,858274
750,46.9,26597,60,22568,280109
751,93.9,0,73,77664,47300
752,85,0,57,53440,415808
753,40.3,62229,59,53020,318457
754,38.7,61426,56,52545,428795
755,78.8,0,65,73040,828739
756,71.5,0,58,78678,1206559
757,62.1,0,57,24889,491804
758,31.2,29030,66,28685,118062
759,34.3,66365,71,62612,-98397
760,74.7,0,61,54134,781894
761,81.6,0,68,51594,674941
762,59.3,0,58,36581,689593
763,34.5,36913,75,33495,-60374
764,46.3,94532,57,63718,580471
765,87.9,0,69,33788,226780
766,51.9,90539,72,64826,-34437
767,37.6,41881,69,35536,-174971
768,91.5,0,60,51073,176079
769,94.4,0,67,20836,-50105
770,53.6,87029,64,59856,560552
771,40.1,53090,61,46917,325444
772,87.9,0,61,68184,458029
773,58.5,37593,72,27797,171029
774,61.8,63577,68,38839,404166
775,71.2,0,67,33994,544730
776,93.6,0,66,74499,109797
777,93.4,0,67,56552,77245
778,54.1,92362,70,67427,271576
779,33.4,37810,60,35711,37526
780,89.4,0,72,42364,219726
781,75.7,0,68,72367,978135
782,55.3,102395,58,76930,1344516
783,63.8,0,62,24601,445299
784,54.5,119428,73,74066,-179961
785,34.3,60108,63,53517,21073
786,33,69362,58,64983,371096
787,36,86287,72,75260,-344379
788,57.1,90949,69,73818,609417
789,57.2,51625,71,31841,35874
790,43.9,73703,60,51915,110052
791,58.9,43791,63,29344,422883
792,73.2,0,67,65993,1011210
793,77.2,0,67,31320,402042
794,66.3,0,63,25042,429347
795,76.1,0,66,71611,944029
796,71.9,0,55,66206,1088432
797,43.4,57864,74,46321,-244925
798,65.7,0,65,48774,929965
799,74.2,0,61,46274,684935
800,52.9,86504,63,62738,525934
801,89.7,0,56,63668,342041
802,83.8,0,66,38049,358975
803,54.6,57754,64,33371,232905
804,40.1,91752,57,78476,656547
805,87.4,0,71,43044,290082
806,71.9,0,65,36378,546444
807,59,111078,64,63428,727344
808,40.3,87379,65,72990,107886
809,34.8,44813,58,40574,181033
810,68.2,0,68,76000,1363599
811,87.4,0,59,48415,395404
812,71.3,0,56,20122,289113
813,73.1,0,62,27269,339675
814,38.6,31700,69,28337,-49075
815,55.7,42776,57,26933,581823
816,49.4,79019,70,62651,85872
817,89.9,0,75,26608,153995
818,66,72146,74,34070,87760
819,76.5,0,63,71199,1013793
820,71.4,0,62,23636,405746
821,91.7,0,62,73312,237811
822,35,82441,71,74021,-295183
823,35.1,78077,69,70191,-204519
824,72.1,0,69,54903,824436
825,85.2,0,57,55937,434955
826,53.4,24802,73,19701,9423
827,85.6,0,57,53040,355672
828,53.4,98739,63,68136,646907
829,74.8,0,68,56665,740636
830,41.3,57514,72,46454,-226619
831,66.3,82449,67,31887,516826
832,75.1,0,67,43139,558467
833,33.9,67475,60,63302,329989
834,35.1,33102,58,30058,196463
835,43.8,31032,73,25575,-120606
836,67.8,66780,71,38270,521155
837,45.5,73968,63,55163,218565
838,65.1,0,59,29929,596465
